type,key,cal,ram,reachable,reader,skill
function,sub_68000,22,51,no,,me7-identify-function
function,sub_AA3C4,22,59,no,,me7-identify-function
function,sub_C75C2,20,25,no,,me7-identify-function
function,sub_51C8C,20,46,no,,me7-identify-function
function,sub_7007A,19,26,no,,me7-identify-function
function,sub_54E08,19,31,no,,me7-identify-function
function,sub_96F16,18,15,no,,me7-identify-function
function,sub_75C5C,18,19,yes,,me7-identify-function
function,sub_933BE,18,31,yes,,me7-identify-function
function,sub_A3A18,18,38,no,,me7-identify-function
function,sub_E295E,18,41,no,,me7-identify-function
function,sub_4C4AA,17,17,no,,me7-identify-function
function,sub_49A2E,17,17,no,,me7-identify-function
function,sub_9CD4C,17,28,no,,me7-identify-function
function,sub_6E5F4,17,28,no,,me7-identify-function
function,sub_99414,17,33,no,,me7-identify-function
function,sub_9992C,17,36,no,,me7-identify-function
function,sub_877EC,17,39,no,,me7-identify-function
function,sub_8B2A8,17,54,no,,me7-identify-function
function,sub_C6BE2,16,33,yes,,me7-identify-function
function,sub_3520C,16,35,yes,,me7-identify-function
function,sub_91654,16,49,no,,me7-identify-function
function,sub_8AA70,16,60,no,,me7-identify-function
function,sub_74A4A,15,20,no,,me7-identify-function
function,sub_750DA,15,24,no,,me7-identify-function
function,sub_91C48,15,25,no,,me7-identify-function
function,sub_93708,15,32,no,,me7-identify-function
function,sub_92EA8,15,37,no,,me7-identify-function
function,sub_9AD3A,15,38,no,,me7-identify-function
function,sub_735E8,15,41,no,,me7-identify-function
function,sub_44114,14,35,no,,me7-identify-function
function,sub_D0408,14,41,no,,me7-identify-function
function,sub_55634,14,47,yes,,me7-identify-function
function,sub_C1AE4,13,21,no,,me7-identify-function
function,sub_8446E,13,28,no,,me7-identify-function
function,sub_902A4,13,30,no,,me7-identify-function
function,sub_466DE,13,36,no,,me7-identify-function
function,sub_8D190,13,40,no,,me7-identify-function
function,sub_689D2,13,43,no,,me7-identify-function
function,sub_69F5E,13,48,no,,me7-identify-function
function,sub_73DDC,12,17,no,,me7-identify-function
function,sub_9B208,12,23,no,,me7-identify-function
function,sub_7A922,12,25,no,,me7-identify-function
function,sub_6989E,12,35,no,,me7-identify-function
function,sub_8F2E0,12,38,no,,me7-identify-function
function,sub_580F0,12,45,no,,me7-identify-function
function,sub_76D30,11,12,no,,me7-identify-function
function,sub_9CA84,11,28,yes,,me7-identify-function
function,sub_9D442,11,29,no,,me7-identify-function
function,sub_75F0C,11,33,no,,me7-identify-function
function,sub_6914E,11,44,no,,me7-identify-function
function,sub_9C8D4,10,12,no,,me7-identify-function
function,sub_DB522,10,14,yes,,me7-identify-function
function,sub_45DF8,10,14,no,,me7-identify-function
function,sub_D36EC,10,19,no,,me7-identify-function
function,sub_7B314,10,19,no,,me7-identify-function
function,sub_478F4,10,19,no,,me7-identify-function
function,sub_6A756,10,20,no,,me7-identify-function
function,sub_4D2E2,10,20,no,,me7-identify-function
function,sub_9320C,10,27,no,,me7-identify-function
function,sub_6F876,10,27,no,,me7-identify-function
function,sub_52A16,10,27,no,,me7-identify-function
function,sub_52368,10,28,no,,me7-identify-function
function,sub_34D7A,10,41,yes,,me7-identify-function
function,sub_66EB6,10,45,no,,me7-identify-function
function,sub_0A088,9,7,no,,me7-identify-function
function,sub_DC6F0,9,11,no,,me7-identify-function
function,sub_D1E5C,9,19,no,,me7-identify-function
function,sub_DCB84,9,21,yes,,me7-identify-function
function,sub_AB8F6,9,22,no,,me7-identify-function
function,sub_74D64,9,22,no,,me7-identify-function
function,sub_D3FC4,9,23,no,,me7-identify-function
function,sub_6F51A,9,24,no,,me7-identify-function
function,sub_90000,9,33,no,,me7-identify-function
function,sub_76EE6,9,34,no,,me7-identify-function
function,sub_70D86,9,37,yes,,me7-identify-function
function,sub_7CE76,9,42,yes,,me7-identify-function
function,sub_40272,9,42,no,,me7-identify-function
function,sub_6DA7C,9,45,no,,me7-identify-function
function,sub_4496E,8,5,no,,me7-identify-function
function,sub_79F4C,8,7,no,,me7-identify-function
function,sub_46312,8,11,no,,me7-identify-function
function,sub_C4202,8,14,no,,me7-identify-function
function,sub_C899E,8,16,no,,me7-identify-function
function,sub_ACD0C,8,16,no,,me7-identify-function
function,sub_AC45A,8,21,no,,me7-identify-function
function,sub_C3E20,8,27,no,,me7-identify-function
function,sub_8F71C,8,28,no,,me7-identify-function
function,sub_6C38E,8,28,no,,me7-identify-function
function,sub_C6FA4,8,36,yes,,me7-identify-function
function,sub_4B4FA,8,50,no,,me7-identify-function
function,sub_48B54,8,51,no,,me7-identify-function
function,sub_50ED2,8,52,no,,me7-identify-function
function,sub_A4904,8,59,no,,me7-identify-function
function,sub_A7FB4,8,126,no,,me7-identify-function
