caller_ea,caller,callee_ea,callee
0x00000,RESET,0x00200,RESET_handler
0x00004,sub_4,0x08004,sub_8004
0x00008,FKAPROG,0x08008,NMITRAP_handler
0x0000C,MDSM_0,0x0800C,sub_800C
0x00010,KRMXN_0,0x08010,STOTRAP_handler
0x00014,NLDIAPU_0,0x08014,sub_8014
0x00018,STUTRAP,0x08018,STUTRAP_handler
0x0001C,TLKRLDAB_0,0x0801C,sub_801C
0x00020,NWDKSST,0x08020,sub_8020
0x00024,sub_24,0x08024,sub_8024
0x00028,BTRAP,0x08028,BTRAP_handler
0x0002C,sub_2C,0x0802C,sub_802C
0x00030,sub_30,0x08030,sub_8030
0x00034,sub_34,0x08034,sub_8034
0x00038,sub_38,0x08038,sub_8038
0x0003C,FNSTABNV_0,0x0803C,sub_803C
0x00040,WNWSTA,0x08040,sub_8040
0x00044,sub_44,0x08044,sub_8044
0x00048,sub_48,0x08048,sub_8048
0x0004C,sub_4C,0x0804C,sub_804C
0x00050,sub_50,0x08050,sub_8050
0x00054,sub_54,0x08054,sub_8054
0x00058,sub_58,0x08058,sub_8058
0x0005C,sub_5C,0x0805C,sub_805C
0x00060,CC8INT,0x08060,CC8INT_handler
0x00064,CC9INT,0x08064,CC9INT_handler
0x00068,CC10INT,0x08068,CC10INT_handler
0x0006C,CC11INT,0x0806C,CC11INT_handler
0x00070,CC12INT,0x08070,CC12INT_handler
0x00074,CC13INT,0x08074,CC13INT_handler
0x00078,NSTOEL,0x08078,CC14INT_handler
0x0007C,CC15INT,0x0807C,CC15INT_handler
0x00080,KLFRTMKI,0x08080,sub_8080
0x00084,sub_84,0x08084,sub_8084
0x00088,T2INT,0x08088,T2INT_handler
0x0008C,T3INT,0x0808C,T3INT_handler
0x00090,T4INT,0x08090,T4INT_handler
0x00094,T5INT,0x08094,T5INT_handler
0x00098,T6INT,0x08098,T6INT_handler
0x0009C,CRINT,0x0809C,CRINT_handler
0x000A0,sub_A0,0x080A0,sub_80A0
0x000A4,sub_A4,0x080A4,sub_80A4
0x000A8,S0TINT,0x080A8,S0TINT_handler
0x000AC,S0RINT,0x080AC,S0RINT_handler
0x000B0,S0EINT,0x080B0,S0EINT_handler
0x000B4,SCTINT,0x080B4,SCTINT_handler
0x000B8,SCRINT,0x080B8,SCRINT_handler
0x000BC,SCEINT,0x080BC,SCEINT_handler
0x000C0,CC16INT,0x080C0,CC16INT_handler
0x000C4,sub_C4,0x080C4,sub_80C4
0x000C8,sub_C8,0x080C8,sub_80C8
0x000CC,sub_CC,0x080CC,sub_80CC
0x000D0,sub_D0,0x080D0,sub_80D0
0x000D4,sub_D4,0x080D4,sub_80D4
0x000D8,sub_D8,0x080D8,sub_80D8
0x000DC,sub_DC,0x080DC,sub_80DC
0x000E0,sub_E0,0x080E0,sub_80E0
0x000E4,sub_E4,0x080E4,sub_80E4
0x000E8,sub_E8,0x080E8,sub_80E8
0x000EC,sub_EC,0x080EC,sub_80EC
0x000F0,sub_F0,0x080F0,sub_80F0
0x000F4,sub_F4,0x080F4,sub_80F4
0x000F8,sub_F8,0x080F8,sub_80F8
0x000FC,sub_FC,0x080FC,sub_80FC
0x00100,XP0INT,0x08100,XP0INT_handler
0x00104,XP1INT,0x08104,XP1INT_handler
