ea,name,size,n_callers,n_callees,n_cal_refs,n_ram_refs,cal_refs,callees
0x00000,RESET,4,1,1,0,0,,RESET_handler
0x00004,sub_4,4,0,1,0,0,,sub_8004
0x00008,NMITRAP,4,0,1,0,0,,NMITRAP_handler
0x0000C,sub_C,4,0,1,0,0,,sub_800C
0x00010,STOTRAP,4,0,1,0,0,,STOTRAP_handler
0x00014,sub_14,4,0,1,0,0,,sub_8014
0x00018,STUTRAP,4,0,1,0,0,,STUTRAP_handler
0x0001C,sub_1C,4,0,1,0,0,,sub_801C
0x00020,sub_20,4,0,1,0,0,,sub_8020
0x00024,sub_24,4,0,1,0,0,,sub_8024
0x00028,BTRAP,4,0,1,0,0,,BTRAP_handler
0x0002C,sub_2C,4,0,1,0,0,,sub_802C
0x00030,sub_30,4,0,1,0,0,,sub_8030
0x00034,sub_34,4,0,1,0,0,,sub_8034
0x00038,sub_38,4,0,1,0,0,,sub_8038
0x0003C,sub_3C,4,0,1,0,0,,sub_803C
0x00040,sub_40,4,0,1,0,0,,sub_8040
0x00044,sub_44,4,0,1,0,0,,sub_8044
0x00048,sub_48,4,0,1,0,0,,sub_8048
0x0004C,sub_4C,4,0,1,0,0,,sub_804C
0x00050,sub_50,4,0,1,0,0,,sub_8050
0x00054,sub_54,4,0,1,0,0,,sub_8054
0x00058,sub_58,4,0,1,0,0,,sub_8058
0x0005C,sub_5C,4,0,1,0,0,,sub_805C
0x00060,CC8INT,4,0,1,0,0,,CC8INT_handler
0x00064,CC9INT,4,0,1,0,0,,CC9INT_handler
0x00068,CC10INT,4,0,1,0,0,,CC10INT_handler
0x0006C,CC11INT,4,0,1,0,0,,CC11INT_handler
0x00070,CC12INT,4,0,1,0,0,,CC12INT_handler
0x00074,CC13INT,4,0,1,0,0,,CC13INT_handler
0x00078,CC14INT,4,0,1,0,0,,CC14INT_handler
0x0007C,CC15INT,4,0,1,0,0,,CC15INT_handler
0x00080,sub_80,4,0,1,0,0,,sub_8080
0x00084,sub_84,4,0,1,0,0,,sub_8084
